Gene,Achilles_common_essential (1912),Hart et al. [2017] core (684),Behan et al. [2019] pan-cancer (553),Hart et al. [2015] core (1580),A priori CEG set
CLTC,1,1,0,1,3
CMC1,1,0,0,0,1
CMPK1,1,1,0,0,2
CMTR1,1,1,0,0,2
CNIH4,1,0,0,0,1
CNN2,1,0,0,0,1
CNOT1,1,0,0,1,2
CNOT3,1,1,0,1,3
CNOT7,1,0,0,0,1
COA5,1,1,0,1,3
COASY,1,0,0,1,2
COG1,1,0,0,0,1
COG2,1,0,0,1,2
COG3,1,0,0,1,2
COG8,1,0,0,1,2
COPA,1,1,1,1,4
COPB1,1,1,1,1,4
COPB2,1,1,1,1,4
COPE,1,0,0,1,2
COPG1,1,0,0,1,2
COPS2,1,0,1,0,2
COPS3,1,1,0,1,3
COPS4,1,0,0,1,2
COPS5,1,0,1,1,3
COPS6,1,1,0,1,3
COPS8,1,0,0,0,1
COPZ1,1,1,1,1,4
COQ2,1,0,0,1,2
COQ4,1,1,0,1,3
COX17,1,0,0,0,1
COX20,1,0,0,0,1
COX5A,1,0,0,0,1
COX5B,1,1,0,1,3
COX6A1,1,0,0,0,1
COX6B1,1,1,0,1,3
COX6C,1,0,0,0,1
COX7B,1,0,0,0,1
COX7C,1,0,0,0,1
CPAMD8,1,0,0,0,1
CPSF1,1,1,0,1,3
CPSF2,1,1,1,1,4
CPSF3,1,1,1,1,4
CPSF4,1,1,0,1,3
CPSF6,1,0,0,1,2
CRCP,1,0,0,1,2
CRCT1,1,0,0,0,1
CRKL,1,0,0,1,2
CRLS1,1,0,0,1,2
CRNKL1,1,1,1,1,4
CS,1,0,0,0,1
CSE1L,1,1,1,1,4
CSNK1A1,1,0,0,1,2
CSNK2B,1,0,0,1,2
CSTF1,1,0,0,1,2
CSTF3,1,0,1,1,3
CTCF,1,0,1,1,3
CTDNEP1,1,0,0,1,2
CTDP1,1,1,1,1,4
CTNNBL1,1,0,0,1,2
CTPS1,1,1,0,1,3
CTR9,1,1,0,1,3
CTU1,1,0,0,1,2
CTU2,1,0,0,1,2
CUL1,1,0,0,1,2
CUL2,1,0,0,1,2
CUL3,1,0,0,1,2
CWC22,1,0,1,1,3
CWC25,1,0,0,0,1
CWF19L2,1,0,0,1,2
CYCS,1,1,0,0,2
CYFIP1,1,0,0,1,2
DAD1,1,1,1,1,4
DAP3,1,0,0,1,2
DARS1,1,0,0,0,1
DBF4,1,0,0,0,1
DBR1,1,1,1,1,4
DCLRE1B,1,0,0,1,2
DCTN2,1,0,0,1,2
DCTN3,1,0,0,0,1
DCTN4,1,0,0,1,2
DCTN5,1,1,0,1,3
DCTN6,1,0,0,1,2
DDA1,1,0,0,0,1
DDB1,1,1,1,1,4
DDN,1,0,0,1,2
DDOST,1,1,0,1,3
DDX10,1,1,1,0,3
DDX11,1,0,0,0,1
DDX18,1,1,1,1,4
DDX20,1,1,0,1,3
DDX21,1,1,0,1,3
DDX23,1,0,0,1,2
DDX24,1,0,0,1,2
DDX27,1,1,0,1,3
DDX39B,1,0,0,1,2
DDX41,1,1,0,1,3
DDX42,1,0,0,1,2
DDX46,1,0,0,1,2
DDX47,1,1,1,1,4
DDX49,1,1,0,1,3
DDX5,1,0,0,1,2
DDX51,1,0,0,1,2
DDX52,1,0,0,1,2
DDX54,1,0,1,1,3
DDX55,1,1,0,1,3
DDX56,1,1,1,1,4
DDX59,1,0,0,1,2
DDX6,1,0,0,1,2
DEFB129,1,0,0,0,1
DENR,1,0,0,0,1
DEXI,1,0,0,0,1
DGCR8,1,1,0,1,3
