Gene,Achilles_common_essential (1912),Hart et al. [2017] core (684),Behan et al. [2019] pan-cancer (553),Hart et al. [2015] core (1580),A priori CEG set
TUBG1,1,1,1,1,4
TUBG2,1,0,0,0,1
TUBGCP2,1,1,1,1,4
TUBGCP3,1,1,1,1,4
TUBGCP4,1,0,1,1,3
TUBGCP5,1,0,0,1,2
TUBGCP6,1,1,0,1,3
TUT1,1,1,1,1,4
TWF1,1,0,0,0,1
TXN,1,1,0,0,2
TXNL4A,1,1,1,1,4
TXNL4B,1,0,0,1,2
U2AF2,1,1,1,1,4
U2SURP,1,0,1,1,3
UBA1,1,1,1,1,4
UBA2,1,0,0,1,2
UBA3,1,0,0,1,2
UBA52,1,1,1,0,3
UBAP1,1,0,0,0,1
UBE2C,1,0,0,0,1
UBE2D3,1,0,0,0,1
UBE2I,1,0,1,1,3
UBE2L3,1,1,0,0,2
UBE2M,1,1,0,0,2
UBE2N,1,1,0,0,2
UBE2S,1,0,0,0,1
UBE2V1,1,0,0,0,1
UBL5,1,1,1,1,4
UBQLN4,1,0,0,0,1
UBR4,1,0,0,1,2
UBTF,1,1,1,1,4
UFD1,1,0,0,0,1
UPF1,1,1,1,1,4
UPF2,1,1,1,1,4
UPF3A,1,0,0,0,1
UQCC3,1,0,0,0,1
UQCRB,1,0,0,1,2
UQCRC2,1,0,0,0,1
UQCRFS1,1,1,0,1,3
UQCRQ,1,0,0,1,2
URB1,1,0,0,1,2
URB2,1,0,0,1,2
URI1,1,0,0,1,2
URM1,1,0,0,1,2
UROD,1,1,0,1,3
USP10,1,0,0,0,1
USP18,1,0,0,0,1
USP36,1,0,0,1,2
USP37,1,0,0,1,2
USP39,1,1,1,1,4
USP5,1,1,0,1,3
USP7,1,0,0,1,2
USP8,1,0,0,1,2
USPL1,1,1,1,1,4
UTP11,1,0,0,0,1
UTP14A,1,0,0,1,2
UTP15,1,1,1,1,4
UTP18,1,0,0,1,2
UTP20,1,1,1,1,4
UTP23,1,1,0,1,3
UTP25,1,0,0,0,1
UTP3,1,0,0,1,2
UTP4,1,0,0,0,1
UTP6,1,0,0,1,2
UXT,1,1,1,1,4
VARS1,1,0,0,0,1
VARS2,1,1,0,1,3
VBP1,1,0,0,0,1
VCL,1,0,0,0,1
VCP,1,1,1,1,4
VDAC1,1,0,0,0,1
VHL,1,0,0,1,2
VIRMA,1,0,0,0,1
VMP1,1,0,0,1,2
VPS13D,1,0,0,1,2
VPS16,1,0,0,0,1
VPS18,1,0,0,1,2
VPS25,1,1,1,1,4
VPS28,1,1,1,1,4
VPS29,1,0,0,0,1
VPS33A,1,0,0,0,1
VPS35,1,0,0,0,1
VPS37A,1,0,0,0,1
VPS41,1,0,0,0,1
VPS51,1,0,0,0,1
VPS54,1,0,0,1,2
VPS72,1,0,0,1,2
VTI1B,1,0,0,0,1
WARS1,1,0,0,0,1
WARS2,1,0,0,1,2
WBP1,1,0,0,0,1
WBP11,1,0,0,0,1
WDHD1,1,0,0,1,2
WDR1,1,0,0,0,1
WDR12,1,1,1,1,4
WDR18,1,0,0,1,2
WDR24,1,0,0,0,1
WDR25,1,1,0,1,3
WDR3,1,1,0,1,3
WDR33,1,1,1,1,4
WDR36,1,0,0,1,2
WDR43,1,1,1,1,4
WDR46,1,0,0,1,2
WDR5,1,0,0,1,2
WDR55,1,0,0,1,2
WDR61,1,1,0,1,3
WDR7,1,0,0,1,2
WDR70,1,1,1,1,4
WDR74,1,1,0,1,3
WDR75,1,1,1,1,4
WDR77,1,1,0,1,3
WDR82,1,0,0,1,2
WDR83,1,0,0,1,2
WEE1,1,1,1,1,4
WNK1,1,0,0,1,2
WTAP,1,0,0,0,1
XAB2,1,1,1,1,4
XPO1,1,1,0,1,3
XPO5,1,0,0,1,2
XPOT,1,0,0,0,1
XRCC3,1,0,0,1,2
XRCC5,1,0,0,1,2
XRCC6,1,1,1,0,3
XRN1,1,0,0,1,2
XRN2,1,0,0,1,2
YAE1,1,0,0,0,1
YARS1,1,0,0,0,1
YARS2,1,1,0,1,3
YBX1,1,0,1,0,2
YEATS2,1,0,0,1,2
YEATS4,1,0,0,1,2
YJU2,1,0,0,0,1
YJU2B,1,0,0,0,1
YKT6,1,0,0,1,2
YPEL1,1,0,0,0,1
YPEL5,1,0,0,0,1
YRDC,1,1,0,1,3
YTHDC1,1,0,0,1,2
YWHAE,1,0,0,0,1
YWHAZ,1,0,0,0,1
YY1,1,0,0,1,2
ZBTB11,1,0,0,1,2
ZBTB17,1,0,0,1,2
ZBTB8OS,1,1,0,0,2
ZC3H13,1,0,0,0,1
ZC3H18,1,0,0,1,2
ZC3H8,1,0,0,1,2
ZCCHC9,1,0,0,1,2
ZCRB1,1,0,0,0,1
ZMAT2,1,0,0,1,2
ZMAT5,1,1,0,1,3
ZNF131,1,1,0,1,3
ZNF207,1,0,0,1,2
ZNF273,1,0,0,0,1
ZNF335,1,0,0,0,1
ZNF407,1,0,0,1,2
ZNF492,1,0,0,0,1
ZNF574,1,1,0,1,3
ZNF593,1,0,0,0,1
ZNF658,1,0,0,0,1
ZNF830,1,0,0,1,2
ZNHIT2,1,0,0,1,2
ZNHIT3,1,0,0,0,1
ZNHIT6,1,0,0,1,2
ZNRD2,1,0,0,0,1
ZPR1,1,0,0,0,1
ZRSR2,1,0,0,0,1
AARS,0,1,0,1,2
ADSS,0,1,0,0,1
ATP5A1,0,1,0,1,2
ATP5B,0,1,0,1,2
ATP5C1,0,1,0,1,2
ATP5D,0,1,0,1,2
ATP5J2-PTCD1,0,1,0,0,1
ATP5L,0,1,0,0,1
ATP5O,0,1,0,0,1
C10orf2,0,1,0,1,2
C21orf59,0,1,1,1,3
C3orf17,0,1,0,1,2
C9orf114,0,1,1,1,3
CCDC84,0,1,0,1,2
CCDC94,0,1,1,1,3
CIRH1A,0,1,0,1,2
COX10,0,1,0,1,2
COX11,0,1,0,0,1
COX15,0,1,0,1,2
COX4I1,0,1,0,1,2
DHODH,0,1,0,1,2
DIEXF,0,1,0,1,2
DLST,0,1,0,1,2
DOLK,0,1,0,1,2
EIF3C,0,1,0,0,1
EIF5B,0,1,0,1,2
EPRS,0,1,1,1,3
FAM96B,0,1,0,1,2
FARS2,0,1,0,0,1
GART,0,1,0,1,2
GNB2L1,0,1,1,1,3
GTF2H2C,0,1,0,0,1
HARS,0,1,0,1,2
HIST1H2AJ,0,1,1,0,2
HIST2H2AA3,0,1,0,0,1
HSD17B10,0,1,0,1,2
IARS,0,1,1,1,3
KARS,0,1,1,1,3
KRI1,0,1,0,1,2
LARS,0,1,1,1,3
MARS,0,1,1,1,3
MED12,0,1,0,1,2
MRP63,0,1,0,1,2
MRPL18,0,1,0,1,2
MRPL46,0,1,0,1,2
NAA38,0,1,1,1,3
NAMPT,0,1,0,0,1
NARFL,0,1,1,1,3
NARS,0,1,1,1,3
NDUFA13,0,1,0,1,2
NHP2L1,0,1,1,1,3
NUDT4,0,1,0,0,1
ORAOV1,0,1,0,1,2
POLR2A,0,1,1,1,3
PPP2R4,0,1,0,1,2
QARS,0,1,1,1,3
RARS2,0,1,0,1,2
RFK,0,1,0,0,1
SARS,0,1,1,1,3
SLMO2,0,1,1,1,3
TARS,0,1,1,1,3
TRNAU1AP,0,1,0,1,2
TUFM,0,1,0,1,2
U2AF1,0,1,1,1,3
UQCRC1,0,1,0,1,2
VARS,0,1,1,1,3
WARS,0,1,1,1,3
WBSCR22,0,1,1,1,3
WDR92,0,1,0,1,2
YARS,0,1,1,1,3
ZNF259,0,1,0,1,2
BCL2L2-PABPN1,0,0,1,0,1
CARS,0,0,1,1,2
CBWD1,0,0,1,0,1
CDK11A,0,0,1,0,1
CPSF3L,0,0,1,1,2
DARS,0,0,1,1,2
DHFRL1,0,0,1,0,1
FAM86B1,0,0,1,0,1
GARS,0,0,1,1,2
HIST1H2AM,0,0,1,0,1
HIST1H2BB,0,0,1,0,1
HIST1H2BC,0,0,1,0,1
HIST1H2BF,0,0,1,0,1
HIST1H2BH,0,0,1,0,1
HIST1H2BL,0,0,1,0,1
HIST1H2BN,0,0,1,0,1
KRTAP5-10,0,0,1,0,1
KRTAP5-6,0,0,1,0,1
KRTAP9-4,0,0,1,0,1
LCE1A,0,0,1,0,1
LCE1E,0,0,1,0,1
LCE1F,0,0,1,0,1
NPIPA5,0,0,1,0,1
PMF1-BGLAP,0,0,1,0,1
POLR2K,0,0,1,0,1
RGPD6,0,0,1,0,1
RPL17,0,0,1,0,1
RPL34,0,0,1,0,1
RPL7L1,0,0,1,0,1
RPS14,0,0,1,0,1
RPS28,0,0,1,0,1
RSL24D1,0,0,1,0,1
RTFDC1,0,0,1,1,2
SF3B14,0,0,1,0,1
SKIV2L2,0,0,1,1,2
SNRPE,0,0,1,1,2
SNRPG,0,0,1,0,1
TCEB1,0,0,1,0,1
TRAPPC2,0,0,1,0,1
TUBA1C,0,0,1,0,1
TWISTNB,0,0,1,1,2
UBB,0,0,1,0,1
UFD1L,0,0,1,1,2
AASDHPPT,0,0,0,1,1
BRAP,0,0,0,1,1
C12orf45,0,0,0,1,1
C14orf178,0,0,0,1,1
C15orf41,0,0,0,1,1
C19orf52,0,0,0,1,1
CASC5,0,0,0,1,1
CCDC130,0,0,0,1,1
CCND1,0,0,0,1,1
CD3EAP,0,0,0,1,1
CENPC1,0,0,0,1,1
CENPP,0,0,0,1,1
DNA2,0,0,0,1,1
G6PD,0,0,0,1,1
H2AFX,0,0,0,1,1
IKBKAP,0,0,0,1,1
ILK,0,0,0,1,1
KIAA0947,0,0,0,1,1
KIAA1429,0,0,0,1,1
MRPL20,0,0,0,1,1
MRPS6,0,0,0,1,1
N6AMT1,0,0,0,1,1
NAF1,0,0,0,1,1
NCKAP1,0,0,0,1,1
NDNL2,0,0,0,1,1
NSMCE4A,0,0,0,1,1
PDE4DIP,0,0,0,1,1
POLG,0,0,0,1,1
PPP3R1,0,0,0,1,1
PSMG1,0,0,0,1,1
RARS,0,0,0,1,1
RPL9,0,0,0,1,1
RPUSD4,0,0,0,1,1
RQCD1,0,0,0,1,1
SCO2,0,0,0,1,1
TERF2,0,0,0,1,1
TKT,0,0,0,1,1
TLN1,0,0,0,1,1
TRMT6,0,0,0,1,1
TRMT61A,0,0,0,1,1
TRUB2,0,0,0,1,1
USO1,0,0,0,1,1
UTP11L,0,0,0,1,1
VPRBP,0,0,0,1,1
WBSCR16,0,0,0,1,1
ZNRD1,0,0,0,1,1
ZZZ3,0,0,0,1,1
ACTR3,0,0,0,1,1
ANKRD63,0,0,0,1,1
ASNA1,0,0,0,1,1
ATF7,0,0,0,1,1
ATP5F1,0,0,0,1,1
BAP1,0,0,0,1,1
BLM,0,0,0,1,1
BRCA1,0,0,0,1,1
BRCA2,0,0,0,1,1
BRD2,0,0,0,1,1
BTAF1,0,0,0,1,1
C11orf57,0,0,0,1,1
C12orf65,0,0,0,1,1
C14orf80,0,0,0,1,1
C16orf80,0,0,0,1,1
C8orf33,0,0,0,1,1
CCDC101,0,0,0,1,1
CCDC64B,0,0,0,1,1
CENPJ,0,0,0,1,1
CENPQ,0,0,0,1,1
CEP57,0,0,0,1,1
CEP85,0,0,0,1,1
CEP97,0,0,0,1,1
COA3,0,0,0,1,1
CSRP2BP,0,0,0,1,1
CTC1,0,0,0,1,1
DARS2,0,0,0,1,1
DCPS,0,0,0,1,1
DDX1,0,0,0,1,1
DGCR14,0,0,0,1,1
DHX35,0,0,0,1,1
DLD,0,0,0,1,1
DNLZ,0,0,0,1,1
DPH1,0,0,0,1,1
DSCC1,0,0,0,1,1
E4F1,0,0,0,1,1
EFTUD1,0,0,0,1,1
ENO1,0,0,0,1,1
ERCC1,0,0,0,1,1
ERCC6L,0,0,0,1,1
FAM210A,0,0,0,1,1
FAM50A,0,0,0,1,1
FDX1L,0,0,0,1,1
FKBPL,0,0,0,1,1
FTSJD2,0,0,0,1,1
GLI4,0,0,0,1,1
GLTSCR2,0,0,0,1,1
HARS2,0,0,0,1,1
HECTD1,0,0,0,1,1
HM13,0,0,0,1,1
HSPA14,0,0,0,1,1
HUS1,0,0,0,1,1
IBA57,0,0,0,1,1
IMMT,0,0,0,1,1
INTS6,0,0,0,1,1
ITGAV,0,0,0,1,1
KCTD10,0,0,0,1,1
KDSR,0,0,0,1,1
KIAA0100,0,0,0,1,1
KLF16,0,0,0,1,1
KNTC1,0,0,0,1,1
LARS2,0,0,0,1,1
LENG1,0,0,0,1,1
LIAS,0,0,0,1,1
LIN7C,0,0,0,1,1
MAU2,0,0,0,1,1
MED19,0,0,0,1,1
MRPL13,0,0,0,1,1
MRPL15,0,0,0,1,1
MRPL22,0,0,0,1,1
MRPL44,0,0,0,1,1
MRPL51,0,0,0,1,1
MRPS18C,0,0,0,1,1
MRPS2,0,0,0,1,1
MRPS25,0,0,0,1,1
NDUFB8,0,0,0,1,1
NDUFV1,0,0,0,1,1
NR2C2AP,0,0,0,1,1
NUPL1,0,0,0,1,1
NXT1,0,0,0,1,1
OBFC1,0,0,0,1,1
ORC2,0,0,0,1,1
PARN,0,0,0,1,1
PDCL,0,0,0,1,1
PET117,0,0,0,1,1
PGM3,0,0,0,1,1
PMVK,0,0,0,1,1
POLR3D,0,0,0,1,1
PPP1R35,0,0,0,1,1
PRKRIR,0,0,0,1,1
PSTK,0,0,0,1,1
QRSL1,0,0,0,1,1
RBM12,0,0,0,1,1
RFWD3,0,0,0,1,1
RHPN1,0,0,0,1,1
SCGB1C1,0,0,0,1,1
SELRC1,0,0,0,1,1
SEPSECS,0,0,0,1,1
SGOL1,0,0,0,1,1
SHOC2,0,0,0,1,1
SLC25A28,0,0,0,1,1
SLC30A9,0,0,0,1,1
SRPR,0,0,0,1,1
TAF6L,0,0,0,1,1
TIMM50,0,0,0,1,1
TNPO1,0,0,0,1,1
TRIM28,0,0,0,1,1
TUBD1,0,0,0,1,1
TXN2,0,0,0,1,1
TXNRD1,0,0,0,1,1
UVRAG,0,0,0,1,1
VRK1,0,0,0,1,1
WRAP53,0,0,0,1,1
WRB,0,0,0,1,1
YAE1D1,0,0,0,1,1
ZFC3H1,0,0,0,1,1
ZNF283,0,0,0,1,1
ZNF408,0,0,0,1,1
ZWILCH,0,0,0,1,1
ABHD11,0,0,0,1,1
ACACA,0,0,0,1,1
ACSL3,0,0,0,1,1
AGO2,0,0,0,1,1
AIFM1,0,0,0,1,1
ALG8,0,0,0,1,1
ANKRD49,0,0,0,1,1
ASNS,0,0,0,1,1
ATIC,0,0,0,1,1
ATP13A1,0,0,0,1,1
ATP5I,0,0,0,1,1
ATRX,0,0,0,1,1
ATXN7L3,0,0,0,1,1
BAHD1,0,0,0,1,1
BCS1L,0,0,0,1,1
BRAT1,0,0,0,1,1
C16orf72,0,0,0,1,1
C2orf49,0,0,0,1,1
CAD,0,0,0,1,1
CARS2,0,0,0,1,1
CASP16,0,0,0,1,1
CBLL1,0,0,0,1,1
CDC25A,0,0,0,1,1
CDCA3,0,0,0,1,1
CEBPE,0,0,0,1,1
CENPF,0,0,0,1,1
CENPO,0,0,0,1,1
CEP152,0,0,0,1,1
CHD1,0,0,0,1,1
CNBP,0,0,0,1,1
CNOT2,0,0,0,1,1
COG4,0,0,0,1,1
COL9A3,0,0,0,1,1
COMTD1,0,0,0,1,1
COQ5,0,0,0,1,1
CPOX,0,0,0,1,1
CRIPT,0,0,0,1,1
CT62,0,0,0,1,1
DCAF7,0,0,0,1,1
DDI2,0,0,0,1,1
DDX3X,0,0,0,1,1
DHFR,0,0,0,1,1
DIDO1,0,0,0,1,1
DMRTC2,0,0,0,1,1
DNAJC11,0,0,0,1,1
DNAJC2,0,0,0,1,1
DOT1L,0,0,0,1,1
DPH5,0,0,0,1,1
DPM1,0,0,0,1,1
DPM3,0,0,0,1,1
DTX4,0,0,0,1,1
DUSP12,0,0,0,1,1
E2F3,0,0,0,1,1
EIF3L,0,0,0,1,1
ENOPH1,0,0,0,1,1
ERCC4,0,0,0,1,1
FAM89B,0,0,0,1,1
FAM98B,0,0,0,1,1
FANCF,0,0,0,1,1
FANCI,0,0,0,1,1
GADD45GIP1,0,0,0,1,1
GCN1L1,0,0,0,1,1
GEMIN2,0,0,0,1,1
GET4,0,0,0,1,1
GFM2,0,0,0,1,1
GID8,0,0,0,1,1
GLRX3,0,0,0,1,1
GMNN,0,0,0,1,1
GPI,0,0,0,1,1
GRB2,0,0,0,1,1
GTPBP8,0,0,0,1,1
HIST1H4A,0,0,0,1,1
HNRNPA2B1,0,0,0,1,1
HOXC6,0,0,0,1,1
IDH3A,0,0,0,1,1
IER2,0,0,0,1,1
INTS10,0,0,0,1,1
ITGB5,0,0,0,1,1
JUNB,0,0,0,1,1
KAT2A,0,0,0,1,1
KATNB1,0,0,0,1,1
KEAP1,0,0,0,1,1
KIAA0020,0,0,0,1,1
KIAA1524,0,0,0,1,1
KIF2C,0,0,0,1,1
LAGE3,0,0,0,1,1
LEMD2,0,0,0,1,1
MALSU1,0,0,0,1,1
MECR,0,0,0,1,1
MGEA5,0,0,0,1,1
MIPEP,0,0,0,1,1
MORC2,0,0,0,1,1
MPHOSPH8,0,0,0,1,1
MROH6,0,0,0,1,1
MRPL11,0,0,0,1,1
MRPL17,0,0,0,1,1
MRPL40,0,0,0,1,1
MRPL47,0,0,0,1,1
MRPS15,0,0,0,1,1
MRPS26,0,0,0,1,1
MRPS30,0,0,0,1,1
MRPS9,0,0,0,1,1
MTHFD1,0,0,0,1,1
MTIF2,0,0,0,1,1
MYBL2,0,0,0,1,1
NAA30,0,0,0,1,1
NARS2,0,0,0,1,1
NDUFB5,0,0,0,1,1
NDUFB6,0,0,0,1,1
NDUFS2,0,0,0,1,1
NEMF,0,0,0,1,1
NHLRC2,0,0,0,1,1
NPM3,0,0,0,1,1
NSRP1,0,0,0,1,1
OR8I2,0,0,0,1,1
ORAI3,0,0,0,1,1
OXSM,0,0,0,1,1
PCYT1A,0,0,0,1,1
PEX16,0,0,0,1,1
PFAS,0,0,0,1,1
PGLS,0,0,0,1,1
PIGS,0,0,0,1,1
PIGV,0,0,0,1,1
POLE3,0,0,0,1,1
PPM1D,0,0,0,1,1
PPP6C,0,0,0,1,1
PRKAR1A,0,0,0,1,1
PRKDC,0,0,0,1,1
PRSS33,0,0,0,1,1
PTK2,0,0,0,1,1
QRICH1,0,0,0,1,1
RAF1,0,0,0,1,1
RBM33,0,0,0,1,1
RBM34,0,0,0,1,1
REXO2,0,0,0,1,1
RFWD2,0,0,0,1,1
RIC8A,0,0,0,1,1
RICTOR,0,0,0,1,1
RNASEH2A,0,0,0,1,1
RNASEH2B,0,0,0,1,1
RNF168,0,0,0,1,1
RPIA,0,0,0,1,1
RPL22L1,0,0,0,1,1
RPL29,0,0,0,1,1
RPP25L,0,0,0,1,1
RPS27,0,0,0,1,1
RSAD1,0,0,0,1,1
RTTN,0,0,0,1,1
SAMD4B,0,0,0,1,1
SAMHD1,0,0,0,1,1
SCO1,0,0,0,1,1
SCYL2,0,0,0,1,1
SDHA,0,0,0,1,1
6-九月,0,0,0,1,1
SHFM1,0,0,0,1,1
SLC25A26,0,0,0,1,1
SLC25A45,0,0,0,1,1
SLC51B,0,0,0,1,1
SNCB,0,0,0,1,1
SNX22,0,0,0,1,1
SOS1,0,0,0,1,1
SPTSSA,0,0,0,1,1
SSBP4,0,0,0,1,1
SSSCA1,0,0,0,1,1
STRIP1,0,0,0,1,1
STRN3,0,0,0,1,1
SURF1,0,0,0,1,1
SUV420H1,0,0,0,1,1
TAF4,0,0,0,1,1
TARBP2,0,0,0,1,1
TFB1M,0,0,0,1,1
TIGD3,0,0,0,1,1
TLCD1,0,0,0,1,1
TLDC2,0,0,0,1,1
TMEM41B,0,0,0,1,1
TOE1,0,0,0,1,1
TRAPPC13,0,0,0,1,1
TRIP13,0,0,0,1,1
TUBE1,0,0,0,1,1
UFSP1,0,0,0,1,1
UMPS,0,0,0,1,1
UNC119,0,0,0,1,1
UNC45A,0,0,0,1,1
USE1,0,0,0,1,1
VWA9,0,0,0,1,1
WDR4,0,0,0,1,1
WDR73,0,0,0,1,1
XRCC2,0,0,0,1,1
XYLT2,0,0,0,1,1
YAP1,0,0,0,1,1
YBEY,0,0,0,1,1
ZC3H3,0,0,0,1,1
ZNF622,0,0,0,1,1
ZRANB1,0,0,0,1,1
